App,评分,日期,差评原文
GTranslate,1star,2022年11月28日,They keep charging me even though I uninstalled the app and I have no idea how to turn it off ! The process should be simpler as small business owner do not have time to deal with this. Bloire 加拿大 4个月 人在使用应用
GTranslate,1star,2022年4月30日,Doesn't support domain sub folder configuration and we must use sub domain so that it works. Not optimized for SEO. VAPEVO 法国 4分钟 人在使用应用 编辑时间：
GTranslate,1star,2022年3月26日,"Unfortunely I must change my previous Review. the app stopped to work correctly a week ago, there is a great caos on my website at this moment: all the subdomains are offline, all the subdomains redirect on the italian checkout pages and not on the correct subdomains checkout and, MOST IMPORTANT, i "
GTranslate,1star,2025年10月13日,not for me stardomo 丹麦 24分钟 人在使用应用
GTranslate,1star,2026年3月31日,Kanama 英国 2年多 人在使用应用 上一页 1 2 3
GTranslate,2star,2022年4月15日,"Online customer service ASHKHEN is helpful, but the app is not that user friendly...lots of bugs that users cannot even edit by themselves... WUD Furniture 香港特别行政区 2天 人在使用应用 编辑时间："
GTranslate,2star,2019年8月16日,"I used the apps for few weeks. The app has a bug with the checkout page. I wanted to get the checkout page to match the language of the site, with no success. For example, I wanted a French checkout page for a French website, and an English checkout page for the English website, but GTranslate faile"
GTranslate,2star,2022年6月25日,"app performance decent, but like every other app you might have to work on improving some translations but if you need help with that good look finding a rep that is actually willing to help you and not just send you articles, not even mentioning that they take longer to answer than any other app i "
GTranslate,2star,2023年6月1日,"Manual customization removed, the whole code is now messed up, therefore the upper part of our website, and now we need to to contact support do to any change... that what we were able to do ourselves a couple of months ago. Gaudifond 西班牙 10个月 人在使用应用"
GTranslate,2star,2024年10月15日,"I was not satisfied with the app. Despite trying countless times over the years to find solutions to make it work for us, it has always been a struggle. The support is cumbersome and only partially helpful. They don’t fully engage with solving the issue. The most they do is send follow-up emails, bu"
GTranslate,2star,2024年5月11日,First impression is that the translation needs to be adjusted a lot. So far not very happy with the result. The agent I talked to (Vahan) about a technical problem was very helpfull and fixed my tecnical issue. Chef Mallows 荷兰 大约21小时 人在使用应用
GTranslate,2star,2018年12月18日,"Not translating right. After I have uninstall this app, it was not properly removed, do not install it! eXtreme 120+™ Skydiving Apparel 美国 8分钟 人在使用应用"
GTranslate,3star,2024年8月18日,The app is good but when you get other apps/widgets that need translation it may take weeks for them to translate it. They are not open for support in the weekends either. Support is fast though but not always the solution. TrendBlend 荷兰 6个月 人在使用应用 编辑时间：
GTranslate,3star,2024年7月30日,"The apps works, but not on all fronts. It doesn't (automatically) translate reviews from the Yotpo app (like with the rest of the site) via the ''Auto switch to browser language'' function. Only when you refresh the page or reselect the country flag. Also this Yotpo app review text is not a fixed co"
GTranslate,3star,2019年9月21日,"Doesn't translate cart info either emails. Translation not very good, i got better results directly on google translate. Have to edit every page. Widget doesn't look good (low res) on web site. François Lambert 加拿大 3天 人在使用应用 编辑时间："
GTranslate,3star,2020年4月14日,"Ella, Suzan, Sergey and Lilit did a fantastic job. Very quick response and amazing effectiveness. You feel yourself very well guided in that ""tricky"" translation-tool. MoroccanHome 西班牙 3个月 人在使用应用"
GTranslate,3star,2020年9月18日,I dient have the best experience with the app itself but ELLE from support really helped me for hours to bring it to an acceptable state. Thank you very much Elle and sorry for taking so much of your time :) El Capitan Brand 西班牙 5天 人在使用应用
GTranslate,3star,2021年2月9日,"I would say that I didn't like the fact the widget is not easy to place on the homepage, unfortunately. Also, I didn't like the fact that I couldn't have the english canadian and french canadian languages. For the overall experience, this app is quite easy to use and to install! Thank you and have a"
GTranslate,3star,2021年3月11日,Great customer service by Lilit whom offered to help me with the setup. A quick and easy job for her. Good communication and quick reply. VAGPWR 挪威 8天 人在使用应用
GTranslate,3star,2025年2月26日,"Thanks to Grikor, best of the best Tennis Giant 加拿大 3年多 人在使用应用"

=== Hextom AI (64 reviews) ===
Hextom AI,1star,2026年7月21日,"Be very careful before using this app for free or paid plan (No Matter what) I upgraded my plan because I urgently needed more translation capacity. After paying, I found out that the new plan's credits would not be available until the next billing cycle. This was not clearly communicated before the"
Hextom AI,1star,2026年5月1日,"Absolutly don't take this app !!! I do translate (with IA) the website, everything where good, until they (WITHOUT OUR PERMISSION) rolled back completly the URL translation. Our website is currently under 404 for all our market, and they absolutly don't care. We are currently taking legal action. YV"
Hextom AI,1star,2026年5月8日,MESSED UP THE CODE Everenci 立陶宛 大约2小时 人在使用应用
Hextom AI,1star,2024年8月27日,"I have been a seller for three years, and this is my first time writing a review, as well as my first time giving a negative one. I strongly suspect that this plugin's AI translation is overcharging. Today, I clearly had a quota of over 10,000 words remaining, but suddenly, I was informed that I exc"
Hextom AI,1star,2024年9月16日,"Thank you for your feedback, and we’re truly sorry for any inconvenience this has caused. We’ve reached out a few times to clarify the issue, but we haven’t heard back yet. ... 显示详细信息"
Hextom AI,1star,2024年7月30日,"I am sorry to give only 1 star, but I really had bad experience with is App and also from the support team. The App translated our brand name to NOT or NON into different language, when I contacted the support team, they sent me the same mistake from screen cut of Google translater, BUT when I check"
Hextom AI,1star,2024年8月30日,"Hello, We apologize for the inconvenience. The incorrect translation was due to the ""Basic Translation"" feature used in your store. This issue won’t occur with our ""Advanced ... 显示详细信息"
Hextom AI,1star,2024年7月3日,Very bad. Customer service often doesn't respond. And it crashes easily goelia1995dev 澳大利亚 大约1个月 人在使用应用 编辑时间：
Hextom AI,1star,2023年5月15日,This is the worst experience ever! Mandatory rating to use the free version! And the translation of the free version doesn't work at all SOMIY 英国 大约2小时 人在使用应用 编辑时间：
Hextom AI,1star,2025年12月2日,"You buy credit and they will make them disappear and play dump for you to buy again , if you count what you pay for you will see the scam in this app Pay for a plan and then not have the monthly limit until 1.5 month later , so you pay 1.5 -2 months worth of limits to get half what you pay for Daily"
Hextom AI,1star,2025年8月27日,"Unfortunately, our experience with Hextom has been very disappointing for the following reasons: 1. Support System: In 2025, every serious SaaS uses a proper helpdesk with ticket numbers, categories, and agent assignment/shift handover. Hextom still does not — issues get lost or repeated endlessly, "
Hextom AI,1star,2025年11月6日,"Thank you for your detailed feedback. We're sorry to hear about your experience and truly appreciate you sharing these points. Points 1, 3, and 4 have already been released ... 显示详细信息"
Hextom AI,1star,2024年10月17日,"I was disappointed with the support I received. They didn’t assist me in installing the selector on the mobile version of the menu, and they didn’t even send a collaborator request to help with the widget installation. Unfortunately, I think it's time to explore other app options. LARIETTE 罗马尼亚 4天 人"
Hextom AI,1star,2024年10月7日,I test your app and all my store was compromised because of your app. My previous languages was deleted after I did that from the app. Don t recommend. Also email support is very slow. Cumpar Sigur 罗马尼亚 8天 人在使用应用
Hextom AI,1star,2024年8月17日,"We’ve been long-time users of several Hextom apps and have always appreciated the quality and reliability they bring to our business. Unfortunately, our experience with the Hextom: Translate and Currency app has been quite disappointing. On our larger site, the app has consistently failed to functio"
Hextom AI,1star,2024年9月16日,"Thank you for sharing your feedback, and we're truly sorry for any inconvenience this may have caused. The issue might be related to your store's market-based regional ... 显示详细信息 编辑时间："
Hextom AI,1star,2025年7月24日,"Update: when you purchase extra words, you don't get them. The app is not working properly, contacting support is only agitating. App is working pretty good, works well with the Taiga theme. But the translate AI is horrible, 50% of lines is wrong and it randomly doesn't translate bits of text at all"
Hextom AI,1star,2024年5月9日,The RIDICULOUS translation quality of this app ruined our entire website and credibility and really damaged our brand. We are considering further legal steps against these amateurs! YouGuide 英国 3天 人在使用应用
Hextom AI,1star,2024年5月1日,"This app is not ready for prime time, its full of bugs and the visual translator really screws things up and seems to over ride the shopify translate and adapt and makes a total mess. Hard to get support also. The AI translation quality is pretty good though, but once that is complete I cant see val"
Hextom AI,1star,2024年5月15日,"Hello FOLIGAIN EU, We apologize for any difficulties you may have experienced while using our app.We have reached out to you via email to gather more details about the issues ... 显示详细信息"
Hextom AI,1star,2024年1月26日,"It translated our URL slugs even though we don't want to, there's no option to deselect URL slugs, which caused a big mess and a lot of broken links that we needed to search for and fix manually. Their support is an absolute disappointment, we are trying to reach them for a week and all we get is a "
Hextom AI,1star,2023年9月6日,"This is not a useful app. The automatic translation is all or nothing, including archived / obsolete products, URL handles so your links break, etc. There is no way so choose what you want and don't want translated without a very tedious manual process. Choose something else... EMF Harmony 美国 2个月 人在"
Hextom AI,1star,2023年8月24日,Terrible app. It does not help you add any Hreflang and Canonical Tags onto the translated content. Signed up the highest plan and paid for content translation by words for 8+ languages and get panelized for duplicated content by Google. When you find out your SEO performance dropped it is late. We 
Hextom AI,1star,2024年5月10日,"Update after 3 years: I am so done with this app. Especially the ""Manual Translation Part"" Prepare for ""something wrong while saving the translation, please try again later""-errors all the time. I have no interest anymore in working with the app's support team, because next time I need to work with "
Hextom AI,1star,2025年8月30日,It's a joke everything is forcing you to pay SecretsOfTea 美国 12分钟 人在使用应用 Hextom
Hextom AI,1star,2025年11月6日,"We're sorry to hear that the app did not meet your expectations and that you felt pressured to upgrade. For clarification, our free plan includes a variety of features, and ... 显示详细信息 上一页 1 2 3 4 下一页"
Hextom AI,1star,2024年2月1日,"Unfortunately the translate feature is awful, totally destroyed my precise translation made by Translate & Adapt app. Thank you for losing hours of my time. WHOSE 波兰 21分钟 人在使用应用"
Hextom AI,1star,2023年6月28日,"Abbiamo avuto esperienze con diverse App, e se tenete veramente al vostro business, questa è la prima a dover evitare. Piena di Bug che si intrecciano fra loro. In tutto questo l'assistenza non è mai online e ti risponde dopo giorni. Quindi per poter risolvere le problematiche i tempi diventano pres"
Hextom AI,1star,2023年3月14日,"TRANSLATION ERROR IN THE BANNER ALL THE TIME! A TRANSLATION FROM LAST MONTH ABOUT AN ALREADY PAST PROMOTION SUDDENLY APPEARS IN THE TOP BANNER Of all the opinions that I have been able to provide about applications, this is going to be the first about the poor Customer Service... I explain to him th"
Hextom AI,1star,2023年2月12日,"BAD! Never work with this. Photos on different pages do not sync. Everything is translated incorrectly. Their answer there is a bug in it. Weeks later, still nothing has changed. How unprofessional you come across al brand. You pay so much money monthly for an app that doesn't work. leselles 比利时 4个月"
Hextom AI,1star,2023年2月24日,Thank you for your feedback. The described issue was not caused by our app. Our app requires users to provide new image translations when you update your images. It does not ... 显示详细信息
Hextom AI,1star,2021年12月24日,"Tired of this app and their extremely slow support, if i had the time to translate my store with another app i would do it in a blink. I have to fix everything myself with this app, however their HTML editor is total garbage, can't even paste the HTML code by one of my products into it, formatting i"
Hextom AI,1star,2021年11月25日,"It's not even one star, but more like -5 stars. I found and installed this app last week. App stopped after 1000 free words telling me to buy more. It's OK, but the description says that you can have 20000 as a first time user bonus. I asked support to fix this, but got an answer that I already used"
Hextom AI,1star,2021年2月18日,ASSISTANCE IS SIMPLY INDECENT. I wrote the first time 2 weeks ago because I have very annoying problem with translation of shop policy pages (the app translate only half of the text despite refresh). They answer me to send them the link of the page in order to fix my problem (and I did it) and then 
Hextom AI,1star,2021年2月12日,"Hi, we have replied the email 3 days ago, but did not receive any response from you. We have already sent another email, and waiting for you response. Can you please check ... 显示详细信息"
Hextom AI,1star,2020年3月24日,"Payed for the prodcuts, but there isn´t any translation. Payed for nothing. Don´t know why there are good reviews. DE to Finnish Finnland MAWA 芬兰 大约24小时 人在使用应用 Hextom"
Hextom AI,1star,2020年3月25日,"Hi, your website is password protected, so we can not see the translation results. We have sent emails to learn more about the potential issue you have experienced, but have ... 显示详细信息"
Hextom AI,1star,2025年12月13日,Poor app and slow support. Do not recommend! Matchatori 瑞典 16天 人在使用应用
Hextom AI,1star,2024年4月11日,"A program that looks like shit, rubbish OOLACTIVE 香港特别行政区 2天 人在使用应用 上一页 1 2 3 4 下一页"
Hextom AI,1star,2024年4月7日,"totally trash, useless and ruin another apps Miss Suki Wedding 香港特别行政区 25分钟 人在使用应用"
Hextom AI,1star,2024年8月14日,"Free plan limited to 5k translations. Useless, way better to use the Shopify Built app that is 100% free... Ozayti IT (Staging) 法国 17分钟 人在使用应用 Hextom"
Hextom AI,1star,2024年8月27日,Thank you for your feedback. We’re sorry to hear you feel this way. We’ve tried reaching out but haven’t received a response—please check your spam folder when you get the ... 显示详细信息
Hextom AI,1star,2023年6月7日,They ask for 5 stars review in exchange for free 3 languages. So every 5* are not that accurate just for free stuff Ultimate Gainz 荷兰 12分钟 人在使用应用
Hextom AI,1star,2020年11月17日,"Not a bad app, but the support is not-existent. I wrote an email one week ago, and I am still waiting. I am removing my subscription Napoli Caffé 瑞士 2个月 人在使用应用 编辑时间："
Hextom AI,1star,2023年5月8日,"It's terrible to use, there is no online customer service, many functions are not very smart, and I can't find the answer, and I can't solve it well after paying. Pascal Official 美国 大约16小时 人在使用应用 Hextom"
Hextom AI,1star,2023年5月15日,"Hi, We do offer online support for our app TMS, including email support and many online guides and videos. We are always happy to help new users set up our app, and any ... 显示详细信息 编辑时间："
Hextom AI,1star,2024年4月9日,"Not good at all, took hours to translate and the translations barely show up on my store. I now use another translation app and everything went 10 times quicker. Don't waste your money on this posterfashion 比利时 大约1个月 人在使用应用"
Hextom AI,1star,2022年8月11日,I used too love this app but after updating app doesnt work well anymore. Impossible to edit and set things as I want to. Omiyage From JAPAN 日本 接近2年 人在使用应用
Hextom AI,1star,2022年7月29日,"I spent almost 40 hours translating my store in June. I come back from vacation and all the translations are gone, and I see no way of getting them back. What a waste of time. Bloire 加拿大 7个月 人在使用应用"
Hextom AI,1star,2025年8月24日,ILAHUI 中国 10分钟 人在使用应用 上一页 2 3 4
Hextom AI,2star,2025年10月6日,Bardzo słabe tłumaczenie na Polski ChessboArt 波兰 大约3小时 人在使用应用 Hextom
Hextom AI,2star,2025年11月6日,Thank you for your feedback. We're sorry the Polish translation didn't meet your expectations. Our team has reached out a few times but hasn’t received a response. Please ... 显示详细信息
Hextom AI,2star,2026年3月4日,不是很好用 WCFootballSuit 台湾 大约15小时 人在使用应用
Hextom AI,2star,2025年8月12日,Q+FLOW 日本 大约2小时 人在使用应用
Hextom AI,3star,2024年12月17日,"Översätter inte allt direkt utan måste göra vissa manuella åtgärder, dock är supporten snabb och ger bra hjälp och bemötande Dorre Home 瑞典 6个月 人在使用应用"
Hextom AI,3star,2021年6月12日,"Some translation parts are quite rigid, not native at all. When reading some sentences is quite obvious a translation tool was used. e.g ""Sold out"" zaeda.ro 罗马尼亚 4天 人在使用应用"
Hextom AI,3star,2022年9月5日,"Die app macht soweit einen guten Eindruck, leider muss man erst eine Zwangbewertung abgeben um die kostenlose version nutzen zu können. Safe-Shield 德国 8分钟 人在使用应用"
Hextom AI,3star,2023年9月5日,これから試すが楽しみ、Freeプランがあるのも良い OneLuck 日本 2分钟 人在使用应用
Hextom AI,3star,2025年10月2日,nA BioEm 香港特别行政区 大约5年 人在使用应用
Hextom AI,3star,2023年9月18日,hihñh jhnñjhñlnkohnhlnklhnklhnklhnkhnlkhnlkhnlkhnlkhnlkhnlkhnlkhnklhloo o lkkkjgjkgkjhkjhkjh jkh kjh kjh khkjh kjhh kjh kjh kjh kjh kjh kjh kjh kjh Hee Shoes 西班牙 1分钟 人在使用应用
Hextom AI,3star,2023年11月16日,Is there a way to add the translation widget within the content of a page? MiskiGoodFoods 加拿大 大约7小时 人在使用应用
Hextom AI,3star,2023年8月17日,Just trying this out now. Will circle back later. I was asked to give a review as soon as the app was installed. Frank Ronay 美国 1分钟 人在使用应用
Hextom AI,3star,2024年2月24日,SiYuTao Teapot 中国 1分钟 人在使用应用
Hextom AI,3star,2024年12月9日,Solid African 瑞士 5天 人在使用应用

=== LangShop (58 reviews) ===
LangShop,1star,2026年6月26日,"We are stuck with this app since way back. There are a few big problems with it. 1. For products, translation is malfunctioning. New product will get wrong info when translated (if duplicated from another product). To get around this, we have to make a new translation for all product and replace the"
LangShop,1star,2026年6月26日,"Hello, Docklandet team. Thank you for the valuable feedback, and we are sorry to hear your experience with the app has been negative. Please note that due to the fact ... 显示详细信息"
LangShop,1star,2026年5月29日,app won't work on third day straight - customer support said developers are on it but it's not fixed and no update has been provided Lifted Clothing 波兰 2天 人在使用应用 Aheadworks
LangShop,1star,2026年5月29日,"Hello, Lifted Clothing We sincerely apologize for the negative experience you had with our app. We understand that resolving the issue with language redirect took longer than ... 显示详细信息"
LangShop,1star,2026年3月20日,The number of glossary rules is too low for the most plans. You have to pay $500 a month to get unlimited Stoy 丹麦 13天 人在使用应用 Aheadworks
LangShop,1star,2026年3月20日,"Hello, Dear Stoy! Thank you for your feedback on Glossary feature! We understand that glossary rules can be an important part of managing translations effectively and we are ... 显示详细信息"
LangShop,1star,2026年1月25日,The switcher is not fit for any shop. It's ugly and not in line with a premium shop. The translation is literal. It must be done manual. A lot of items not translated or partially translated. Many translation failed and I had to do a lot of manual work. Not to mention the support. It has been absolu
LangShop,1star,2026年1月25日,"Hello PurrEmbassy, We're really sorry to hear about your negative experience. We would like to clarify that by sharing the guide link we intended to provide step-by-step ... 显示详细信息"
LangShop,1star,2025年12月6日,"I have totally no idea why it has 4.6 points. To everyone who is considering this app, I will NEVER recomend you to use it because you will get nothing except regrets. 1. It does not update automatically. When a copy on a certain place is updated, you need to go to Lang shop to translate or click ""t"
LangShop,1star,2025年12月6日,"Hi SOU・SOU netshop, Thank you for taking the time to share such detailed feedback. We’re truly sorry to hear about your experience and that our app has not met your ... 显示详细信息 编辑时间："
LangShop,1star,2022年6月29日,"This software is quite expensive but the service is poor. most cases no working well and answers always like machine, you have to spend a lot time to learn and ask and wait by yourself. Daytrends 香港特别行政区 接近2年 人在使用应用 Aheadworks"
LangShop,1star,2022年6月30日,"Hi Daytrends store admin, Thanks for sharing your feedback! It's really sad to know that you had a negative experience with our application and service. We apologize that our ... 显示详细信息"
LangShop,1star,2025年11月9日,Very unhappy with this app right now for three reasons: 1) Many translations failed in the last 17 days (probably more but I do not see older tasks!!!) and I never noticed because the app does not let you know. User experience -1000. Our customer happines also -1000. 2) I have been using langshop fo
LangShop,1star,2025年11月9日,"Hi BINS AND BOXES, Thank you for sharing your detailed feedback. We’re sorry to hear about your experience and truly understand your frustration. We appreciate the chance to ... 显示详细信息"
LangShop,1star,2025年11月5日,"Not a good app at all !! Langshop create multiple redirections for each language. After 1 month of using , i have got more than 13000 redirects and more than 6500 404 pages because of Langshop. Langshop is not made for SEO ! Technically it works, but your site will have HUDGE problems in terms of SE"
LangShop,1star,2025年11月5日,"Hi there, Misciano Thank you for taking the time to share your feedback — we’re truly sorry to hear about your experience. We’d like to clarify that LangShop itself does not ... 显示详细信息"
LangShop,1star,2025年10月16日,"The app is very bad for translations. Many many mistakes and they always will tell you that they are not in charge. Same with their ""Glossary"" as a converting service. It doesn't work at all. I wasted a whole year to tell them to fix the bad translations and all they do is to change the text manuall"
LangShop,1star,2025年10月16日,"Dea rלובן מור , We’re sorry to hear that you feel this way, but we would like to clarify several important points. All translations in LangShop are performed by integrated ... 显示详细信息"
LangShop,1star,2025年7月25日,"Absolutely Terrible Service — Don’t Waste Your Time or Money! This app has been a complete nightmare. We’ve been reporting a critical bug for over THREE MONTHS with ZERO resolution. Despite paying a premium price, the issue still persists and is wrecking our website, reputation, and sales. Support i"
LangShop,1star,2025年7月26日,"Hello welzo, Thank you for taking the time to share your experience. We are truly sorry you’ve been dealing with 500 Internal Server Error and understand how critical a fully ... 显示详细信息 1 2 下一页"
LangShop,1star,2025年5月18日,Used to be Great — Now Ruined by Greedy Pricing Changes This app was easy to use and worked well — until they completely overhauled the pricing plans. The new plans are overpriced and offer less value. It’s frustrating to see a good app go down this path just to squeeze more money out of loyal users
LangShop,1star,2025年5月19日,Hello Productkeys-uk Thank you for sharing your feedback and experience with LangShop. We're sorry to hear that you are disappointed with the recent changes to our pricing ... 显示详细信息
LangShop,1star,2025年5月15日,"Everything is nice about this app except for 1 thing: in the event of a malfunction or problem, everything is initially forwarded to Shopify, but if the problem turns out to be with them, it has to be sent to the dev team and you don't hear anything anymore. webshop crosses all languages ​​​​and all"
LangShop,1star,2024年11月17日,***STAY AWAY*** IF you pay $34 per month they will try to solve your issues. When I decided to go for the basic plan as I din't need to spent so much and by mistake i changed the language switcher to the default option i couldn't even make it smaller. I didn't ask for any other changes apart from th
LangShop,1star,2024年11月18日,Hello ROUTE 67! We are very sorry that you've had bad experience using our app and would like to find a solution for you We've tried to get in touch with you about this issue ... 显示详细信息 编辑时间：
LangShop,1star,2025年7月24日,"Unfortunately I had to change my 5 stars rating to one, because for the last week the app is completely useless as it will not translate more that a few products at a time and in just one language when using Open AI. The development team repeatedly and falsely claimed to have found a fix. The issue "
LangShop,1star,2023年3月3日,Hello! Thank you very much for such words! It means a lot for us and helps us to improve our app! We hope that you will get only positive emotions from using our application. ... 显示详细信息 编辑时间：
LangShop,1star,2021年11月30日,I have not had a good experience with this application and therefore do not recommend it. After uninstalling it is not possible to delete the code that the app adds to the store template. The solution they offer me is that I contact the team responsible for the development of the template so that th
LangShop,1star,2022年6月30日,"Hi Paleobull, Thank you for the feedback! We always aim to deliver a great experience, and we are gutted when we don’t meet expectations. Thanks for taking the time to bring ... 显示详细信息 编辑时间："
LangShop,1star,2023年7月29日,"*** UPDATE : They say that their customer service is available 24/7, but since I've left this review, they've removed any chat/support contact button from my account, as revenge. Considering the fact that you cannot do any change without the help of customer service, based on this non-user friendly "
LangShop,1star,2022年11月21日,Hello Koop Team. Our team is really sorry to hear about your experience and that you were let down by our app. We sincerely regret that this trouble made you doubt the ... 显示详细信息
LangShop,1star,2022年8月3日,"Very little support. The translations to spanish were poor and we had too many edits that it wasn't worthwhile. Moreoever, once we deleted the app, it screwed up checkout of many of our products. They were unable to provide a full uninstall and told us to hire a web developer to fix their broken app"
LangShop,1star,2022年8月17日,Hi bighammerwines.com team ! We are very sorry that you have bad experience while using our application. Please note that our app offers different ways to translate the ... 显示详细信息
LangShop,1star,2022年2月10日,The upgrade to Version 2 has been a total disaster for us. We can no longer use our export/import app Matixify. Trying to download our products using their export/import feature and it is estimating it will take at least 48 days to complete. So far it has been running for 4 days. We now have to get 
LangShop,1star,2022年2月17日,"Hello! We've tried to contact you regarding the issue, but didn't get a response, Could you please check our e-mail and let us know about your decision? Thank you in advance!"
LangShop,1star,2020年5月20日,"Very bad experience, as after installing the app, customer support asked for staff account to see why the new version is not working, but i found later that a change in the HTML code of the original theme took place, so when i uninstall their app, i found the original theme text is completely flippe"
